Medicine Name,Dosage,Quantity,Price,Category
Aspirin,40mg,38,80.01,Antihistamine
Amoxicillin,500mg,24,40.91,Cardiovascular
Atorvastatin,1000mg,14,43.93,Cardiovascular
Paracetamol,100mg,35,46.38,Antidiabetic
Paracetamol,40mg,22,72.05,Antacid
Paracetamol,10mg,13,8.09,Antidiabetic
Atorvastatin,5mg,25,98.72,Antidiabetic
Cetirizine,200mg,5,73.67,Antacid
Paracetamol,100mg,50,5.07,Antidiabetic
Metformin,250mg,32,69.29,Antibiotic
Atorvastatin,10mg,6,54.04,Antibiotic
Metformin,40mg,35,56.72,Analgesic
Ibuprofen,100mg,45,92.67,Antihistamine
Aspirin,1000mg,33,24.9,Antihistamine
Atorvastatin,5mg,41,72.51,Cardiovascular
Amoxicillin,100mg,37,73.05,Antihistamine
Amoxicillin,250mg,17,40.19,Analgesic
Amoxicillin,250mg,25,68.7,Cardiovascular
Omeprazole,40mg,31,25.72,Antidiabetic
Cetirizine,5mg,38,85.99,Antipyretic
Omeprazole,10mg,6,76.61,Antidiabetic
Omeprazole,100mg,45,28.5,Antibiotic
Metformin,200mg,17,89.52,Antipyretic
Paracetamol,10mg,45,17.2,Antipyretic
Paracetamol,5mg,45,92.27,Antihistamine
Omeprazole,1000mg,41,52.3,Antibiotic
Aspirin,500mg,22,68.6,Antacid
Amoxicillin,5mg,6,42.44,Anticoagulant
Omeprazole,10mg,19,14.85,Cardiovascular
Atorvastatin,5mg,37,33.4,Analgesic
Aspirin,250mg,7,75.33,Analgesic
Metformin,200mg,17,42.56,Antidiabetic
Amoxicillin,500mg,15,22.08,Antibiotic
Metformin,250mg,17,11.12,Anticoagulant
Paracetamol,10mg,11,19.64,Antidiabetic
Aspirin,100mg,8,51.99,Antihistamine
Paracetamol,500mg,24,38.3,Anticoagulant
Atorvastatin,5mg,10,74.0,Antibiotic
Amoxicillin,10mg,29,53.44,Antihistamine
Atorvastatin,40mg,40,35.95,Anticoagulant
Amoxicillin,200mg,17,40.74,Analgesic
Metformin,1000mg,18,84.09,Antibiotic
Cetirizine,250mg,1,63.9,Analgesic
Metformin,5mg,23,42.32,Cardiovascular
Cetirizine,200mg,8,38.93,Antipyretic
Amoxicillin,40mg,3,43.57,Anticoagulant
Cetirizine,5mg,19,23.34,Antacid
Omeprazole,250mg,16,41.67,Antacid
Atorvastatin,10mg,34,81.47,Cardiovascular
Atorvastatin,10mg,44,5.92,Antacid
